"","X.1","X","TV.Ad.Budget....","Radio.Ad.Budget....","Newspaper.Ad.Budget....","Sales....","totalbudget","totalbudget1"
"1",1,1,230.1,37.8,69.2,22.1,337.1,267.9
"2",2,2,44.5,39.3,45.1,10.4,128.9,83.8
"3",3,3,17.2,45.9,69.3,9.3,132.4,63.1
"4",4,4,151.5,41.3,58.5,18.5,251.3,192.8
"5",5,5,180.8,10.9,58.4,12.9,250.1,191.7
"6",6,6,8.7,48.9,75,7.2,132.6,57.6
"7",7,7,57.5,32.8,23.5,11.8,113.8,90.3
"8",8,8,120.2,19.6,11.6,13.2,151.4,139.8
"9",9,9,8.6,2.1,1,4.8,11.7,10.7
"10",10,10,199.8,2.6,21.2,10.6,223.6,202.4
"11",11,11,66.1,5.8,24.2,8.6,96.1,71.9
"12",12,12,214.7,24,4,17.4,242.7,238.7
"13",13,13,23.8,35.1,65.9,9.2,124.8,58.9
"14",14,14,97.5,7.6,7.2,9.7,112.3,105.1
"15",15,15,204.1,32.9,46,19,283,237
"16",16,16,195.4,47.7,52.9,22.4,296,243.1
"17",17,17,67.8,36.6,114,12.5,218.4,104.4
"18",18,18,281.4,39.6,55.8,24.4,376.8,321
"19",19,19,69.2,20.5,18.3,11.3,108,89.7
"20",20,20,147.3,23.9,19.1,14.6,190.3,171.2
"21",21,21,218.4,27.7,53.4,18,299.5,246.1
"22",22,22,237.4,5.1,23.5,12.5,266,242.5
"23",23,23,13.2,15.9,49.6,5.6,78.7,29.1
"24",24,24,228.3,16.9,26.2,15.5,271.4,245.2
"25",25,25,62.3,12.6,18.3,9.7,93.2,74.9
"26",26,26,262.9,3.5,19.5,12,285.9,266.4
"27",27,27,142.9,29.3,12.6,15,184.8,172.2
"28",28,28,240.1,16.7,22.9,15.9,279.7,256.8
"29",29,29,248.8,27.1,22.9,18.9,298.8,275.9
"30",30,30,70.6,16,40.8,10.5,127.4,86.6
"31",31,31,292.9,28.3,43.2,21.4,364.4,321.2
"32",32,32,112.9,17.4,38.6,11.9,168.9,130.3
"33",33,33,97.2,1.5,30,9.6,128.7,98.7
"34",34,34,265.6,20,0.3,17.4,285.9,285.6
"35",35,35,95.7,1.4,7.4,9.5,104.5,97.1
"36",36,36,290.7,4.1,8.5,12.8,303.3,294.8
"37",37,37,266.9,43.8,5,25.4,315.7,310.7
"38",38,38,74.7,49.4,45.7,14.7,169.8,124.1
"39",39,39,43.1,26.7,35.1,10.1,104.9,69.8
"40",40,40,228,37.7,32,21.5,297.7,265.7
"41",41,41,202.5,22.3,31.6,16.6,256.4,224.8
"42",42,42,177,33.4,38.7,17.1,249.1,210.4
"43",43,43,293.6,27.7,1.8,20.7,323.1,321.3
"44",44,44,206.9,8.4,26.4,12.9,241.7,215.3
"45",45,45,25.1,25.7,43.3,8.5,94.1,50.8
"46",46,46,175.1,22.5,31.5,14.9,229.1,197.6
"47",47,47,89.7,9.9,35.7,10.6,135.3,99.6
"48",48,48,239.9,41.5,18.5,23.2,299.9,281.4
"49",49,49,227.2,15.8,49.9,14.8,292.9,243
"50",50,50,66.9,11.7,36.8,9.7,115.4,78.6
"51",51,51,199.8,3.1,34.6,11.4,237.5,202.9
"52",52,52,100.4,9.6,3.6,10.7,113.6,110
"53",53,53,216.4,41.7,39.6,22.6,297.7,258.1
"54",54,54,182.6,46.2,58.7,21.2,287.5,228.8
"55",55,55,262.7,28.8,15.9,20.2,307.4,291.5
"56",56,56,198.9,49.4,60,23.7,308.3,248.3
"57",57,57,7.3,28.1,41.4,5.5,76.8,35.4
"58",58,58,136.2,19.2,16.6,13.2,172,155.4
"59",59,59,210.8,49.6,37.7,23.8,298.1,260.4
"60",60,60,210.7,29.5,9.3,18.4,249.5,240.2
"61",61,61,53.5,2,21.4,8.1,76.9,55.5
"62",62,62,261.3,42.7,54.7,24.2,358.7,304
"63",63,63,239.3,15.5,27.3,15.7,282.1,254.8
"64",64,64,102.7,29.6,8.4,14,140.7,132.3
"65",65,65,131.1,42.8,28.9,18,202.8,173.9
"66",66,66,69,9.3,0.9,9.3,79.2,78.3
"67",67,67,31.5,24.6,2.2,9.5,58.3,56.1
"68",68,68,139.3,14.5,10.2,13.4,164,153.8
"69",69,69,237.4,27.5,11,18.9,275.9,264.9
"70",70,70,216.8,43.9,27.2,22.3,287.9,260.7
"71",71,71,199.1,30.6,38.7,18.3,268.4,229.7
"72",72,72,109.8,14.3,31.7,12.4,155.8,124.1
"73",73,73,26.8,33,19.3,8.8,79.1,59.8
"74",74,74,129.4,5.7,31.3,11,166.4,135.1
"75",75,75,213.4,24.6,13.1,17,251.1,238
"76",76,76,16.9,43.7,89.4,8.7,150,60.6
"77",77,77,27.5,1.6,20.7,6.9,49.8,29.1
"78",78,78,120.5,28.5,14.2,14.2,163.2,149
"79",79,79,5.4,29.9,9.4,5.3,44.7,35.3
"80",80,80,116,7.7,23.1,11,146.8,123.7
"81",81,81,76.4,26.7,22.3,11.8,125.4,103.1
"82",82,82,239.8,4.1,36.9,12.3,280.8,243.9
"83",83,83,75.3,20.3,32.5,11.3,128.1,95.6
"84",84,84,68.4,44.5,35.6,13.6,148.5,112.9
"85",85,85,213.5,43,33.8,21.7,290.3,256.5
"86",86,86,193.2,18.4,65.7,15.2,277.3,211.6
"87",87,87,76.3,27.5,16,12,119.8,103.8
"88",88,88,110.7,40.6,63.2,16,214.5,151.3
"89",89,89,88.3,25.5,73.4,12.9,187.2,113.8
"90",90,90,109.8,47.8,51.4,16.7,209,157.6
"91",91,91,134.3,4.9,9.3,11.2,148.5,139.2
"92",92,92,28.6,1.5,33,7.3,63.1,30.1
"93",93,93,217.7,33.5,59,19.4,310.2,251.2
"94",94,94,250.9,36.5,72.3,22.2,359.7,287.4
"95",95,95,107.4,14,10.9,11.5,132.3,121.4
"96",96,96,163.3,31.6,52.9,16.9,247.8,194.9
"97",97,97,197.6,3.5,5.9,11.7,207,201.1
"98",98,98,184.9,21,22,15.5,227.9,205.9
"99",99,99,289.7,42.3,51.2,25.4,383.2,332
"100",100,100,135.2,41.7,45.9,17.2,222.8,176.9
"101",101,101,222.4,4.3,49.8,11.7,276.5,226.7
"102",102,102,296.4,36.3,100.9,23.8,433.6,332.7
"103",103,103,280.2,10.1,21.4,14.8,311.7,290.3
"104",104,104,187.9,17.2,17.9,14.7,223,205.1
"105",105,105,238.2,34.3,5.3,20.7,277.8,272.5
"106",106,106,137.9,46.4,59,19.2,243.3,184.3
"107",107,107,25,11,29.7,7.2,65.7,36
"108",108,108,90.4,0.3,23.2,8.7,113.9,90.7
"109",109,109,13.1,0.4,25.6,5.3,39.1,13.5
"110",110,110,255.4,26.9,5.5,19.8,287.8,282.3
"111",111,111,225.8,8.2,56.5,13.4,290.5,234
"112",112,112,241.7,38,23.2,21.8,302.9,279.7
"113",113,113,175.7,15.4,2.4,14.1,193.5,191.1
"114",114,114,209.6,20.6,10.7,15.9,240.9,230.2
"115",115,115,78.2,46.8,34.5,14.6,159.5,125
"116",116,116,75.1,35,52.7,12.6,162.8,110.1
"117",117,117,139.2,14.3,25.6,12.2,179.1,153.5
"118",118,118,76.4,0.8,14.8,9.4,92,77.2
"119",119,119,125.7,36.9,79.2,15.9,241.8,162.6
"120",120,120,19.4,16,22.3,6.6,57.7,35.4
"121",121,121,141.3,26.8,46.2,15.5,214.3,168.1
"122",122,122,18.8,21.7,50.4,7,90.9,40.5
"123",123,123,224,2.4,15.6,11.6,242,226.4
"124",124,124,123.1,34.6,12.4,15.2,170.1,157.7
"125",125,125,229.5,32.3,74.2,19.7,336,261.8
"126",126,126,87.2,11.8,25.9,10.6,124.9,99
"127",127,127,7.8,38.9,50.6,6.6,97.3,46.7
"128",128,128,80.2,0,9.2,8.8,89.4,80.2
"129",129,129,220.3,49,3.2,24.7,272.5,269.3
"130",130,130,59.6,12,43.1,9.7,114.7,71.6
"131",131,131,0.7,39.6,8.7,1.6,49,40.3
"132",132,132,265.2,2.9,43,12.7,311.1,268.1
"133",133,133,8.4,27.2,2.1,5.7,37.7,35.6
"134",134,134,219.8,33.5,45.1,19.6,298.4,253.3
"135",135,135,36.9,38.6,65.6,10.8,141.1,75.5
"136",136,136,48.3,47,8.5,11.6,103.8,95.3
"137",137,137,25.6,39,9.3,9.5,73.9,64.6
"138",138,138,273.7,28.9,59.7,20.8,362.3,302.6
"139",139,139,43,25.9,20.5,9.6,89.4,68.9
"140",140,140,184.9,43.9,1.7,20.7,230.5,228.8
"141",141,141,73.4,17,12.9,10.9,103.3,90.4
"142",142,142,193.7,35.4,75.6,19.2,304.7,229.1
"143",143,143,220.5,33.2,37.9,20.1,291.6,253.7
"144",144,144,104.6,5.7,34.4,10.4,144.7,110.3
"145",145,145,96.2,14.8,38.9,11.4,149.9,111
"146",146,146,140.3,1.9,9,10.3,151.2,142.2
"147",147,147,240.1,7.3,8.7,13.2,256.1,247.4
"148",148,148,243.2,49,44.3,25.4,336.5,292.2
"149",149,149,38,40.3,11.9,10.9,90.2,78.3
"150",150,150,44.7,25.8,20.6,10.1,91.1,70.5
"151",151,151,280.7,13.9,37,16.1,331.6,294.6
"152",152,152,121,8.4,48.7,11.6,178.1,129.4
"153",153,153,197.6,23.3,14.2,16.6,235.1,220.9
"154",154,154,171.3,39.7,37.7,19,248.7,211
"155",155,155,187.8,21.1,9.5,15.6,218.4,208.9
"156",156,156,4.1,11.6,5.7,3.2,21.4,15.7
"157",157,157,93.9,43.5,50.5,15.3,187.9,137.4
"158",158,158,149.8,1.3,24.3,10.1,175.4,151.1
"159",159,159,11.7,36.9,45.2,7.3,93.8,48.6
"160",160,160,131.7,18.4,34.6,12.9,184.7,150.1
"161",161,161,172.5,18.1,30.7,14.4,221.3,190.6
"162",162,162,85.7,35.8,49.3,13.3,170.8,121.5
"163",163,163,188.4,18.1,25.6,14.9,232.1,206.5
"164",164,164,163.5,36.8,7.4,18,207.7,200.3
"165",165,165,117.2,14.7,5.4,11.9,137.3,131.9
"166",166,166,234.5,3.4,84.8,11.9,322.7,237.9
"167",167,167,17.9,37.6,21.6,8,77.1,55.5
"168",168,168,206.8,5.2,19.4,12.2,231.4,212
"169",169,169,215.4,23.6,57.6,17.1,296.6,239
"170",170,170,284.3,10.6,6.4,15,301.3,294.9
"171",171,171,50,11.6,18.4,8.4,80,61.6
"172",172,172,164.5,20.9,47.4,14.5,232.8,185.4
"173",173,173,19.6,20.1,17,7.6,56.7,39.7
"174",174,174,168.4,7.1,12.8,11.7,188.3,175.5
"175",175,175,222.4,3.4,13.1,11.5,238.9,225.8
"176",176,176,276.9,48.9,41.8,27,367.6,325.8
"177",177,177,248.4,30.2,20.3,20.2,298.9,278.6
"178",178,178,170.2,7.8,35.2,11.7,213.2,178
"179",179,179,276.7,2.3,23.7,11.8,302.7,279
"180",180,180,165.6,10,17.6,12.6,193.2,175.6
"181",181,181,156.6,2.6,8.3,10.5,167.5,159.2
"182",182,182,218.5,5.4,27.4,12.2,251.3,223.9
"183",183,183,56.2,5.7,29.7,8.7,91.6,61.9
"184",184,184,287.6,43,71.8,26.2,402.4,330.6
"185",185,185,253.8,21.3,30,17.6,305.1,275.1
"186",186,186,205,45.1,19.6,22.6,269.7,250.1
"187",187,187,139.5,2.1,26.6,10.3,168.2,141.6
"188",188,188,191.1,28.7,18.2,17.3,238,219.8
"189",189,189,286,13.9,3.7,15.9,303.6,299.9
"190",190,190,18.7,12.1,23.4,6.7,54.2,30.8
"191",191,191,39.5,41.1,5.8,10.8,86.4,80.6
"192",192,192,75.5,10.8,6,9.9,92.3,86.3
"193",193,193,17.2,4.1,31.6,5.9,52.9,21.3
"194",194,194,166.8,42,3.6,19.6,212.4,208.8
"195",195,195,149.7,35.6,6,17.3,191.3,185.3
"196",196,196,38.2,3.7,13.8,7.6,55.7,41.9
"197",197,197,94.2,4.9,8.1,9.7,107.2,99.1
"198",198,198,177,9.3,6.4,12.8,192.7,186.3
"199",199,199,283.6,42,66.2,25.5,391.8,325.6
"200",200,200,232.1,8.6,8.7,13.4,249.4,240.7
